group_key,n_members,avg_ret_6m,group_rs_6m,group_rs_100,group_rs_99,group_rank,group_grade
Real Estate | REIT - Retail,29,0.04733659944582591,0.06469362199925945,39.726027397260275,39.32876712328767,89,D
Healthcare | Healthcare Plans,10,0.29911679864401586,0.06146518162481619,39.04109589041096,38.65068493150685,90,D
Consumer Defensive | Beverages - Non-Alcoholic,14,-0.0072458159930732,0.060177538526531994,38.35616438356164,37.97260273972603,91,D
Consumer Cyclical | Gambling,14,-0.08897581947891428,0.05385868287209196,37.67123287671233,37.294520547945204,92,D
Consumer Defensive | Farm Products,24,0.031928461195916476,0.04814819382442278,36.986301369863014,36.61643835616438,93,D
Consumer Defensive | Food Distribution,11,0.03518554754635679,0.04404599922253559,36.3013698630137,35.93835616438356,94,D
Financial Services | Credit Services,50,-0.004998705685179021,0.04191887526482369,35.61643835616438,35.26027397260274,95,D
Consumer Defensive | Confectioners,4,-0.08094521814777883,0.039637398097343644,34.93150684931507,34.582191780821915,96,D
Consumer Cyclical | Residential Construction,18,0.0737545853892095,0.030136809721557373,34.24657534246575,33.90410958904109,97,D
Real Estate | REIT - Specialty,20,-0.024487808768340818,0.02985056122112504,33.56164383561644,33.226027397260275,98,D
Industrials | Farm & Heavy Construction Machinery,25,-0.07714093320434276,0.028383422799897248,32.87671232876712,32.54794520547945,99,D
Financial Services | Insurance - Reinsurance,7,-0.000768282168201779,0.019253132014233464,32.19178082191781,31.86986301369863,100,D
Technology | Information Technology Services,65,-0.08094673985975855,0.01511879542092248,31.506849315068493,31.191780821917806,101,D
Financial Services | Insurance - Specialty,17,0.01632380245853437,0.014245299917567737,30.82191780821918,30.513698630136986,102,D
Consumer Cyclical | Resorts & Casinos,17,-0.07381987953643648,0.012898632202617985,30.136986301369863,29.835616438356162,103,D
Technology | Scientific & Technical Instruments,30,0.021586692065171057,0.010910872913317033,29.45205479452055,29.157534246575345,104,D
Communication Services | Publishing,6,0.05564384749809955,0.006918166385052979,28.767123287671232,28.479452054794518,105,D
Energy | Oil & Gas E&P,69,0.031833260509543215,0.006523128427139579,28.08219178082192,27.8013698630137,106,D
Consumer Defensive | Tobacco,10,-0.0691483343219507,0.0028745944021214844,27.397260273972602,27.123287671232877,107,D
Industrials | Railroads,9,-0.025211916068722133,-0.005545407473510514,26.71232876712329,26.445205479452056,108,D
Real Estate | REIT - Residential,18,-0.028327726278184626,-0.010406811512943835,26.027397260273972,25.767123287671232,109,D
Communication Services | Entertainment,50,-0.11493542943517528,-0.012767519357368503,25.34246575342466,25.089041095890412,110,D
Technology | Software - Infrastructure,152,-0.01271759308583407,-0.01335518841220811,24.65753424657534,24.410958904109588,111,D
Industrials | Security & Protection Services,22,-0.014053433074960951,-0.0187003423400092,23.972602739726025,23.732876712328764,112,D
Industrials | Trucking,16,0.019971317306297517,-0.03527809191058087,23.28767123287671,23.054794520547944,113,D
Real Estate | REIT - Diversified,18,-0.014092438831735412,-0.04703820718621946,22.602739726027394,22.376712328767123,114,D
Financial Services | Financial Data & Stock Exchanges,14,-0.183703204555652,-0.05167936869307269,21.91780821917808,21.6986301369863,115,D
Consumer Cyclical | Specialty Retail,46,-0.06556395315093314,-0.05819931091413667,21.232876712328768,21.02054794520548,116,D
Healthcare | Health Information Services,47,-0.08360242843997766,-0.06024103511066509,20.54794520547945,20.342465753424655,117,D
Healthcare | Medical Devices,136,-0.03577113163172902,-0.06381091391408468,19.863013698630137,19.664383561643834,118,E
Healthcare | Medical Instruments & Supplies,55,-0.04559643304475278,-0.06498694960130413,19.17808219178082,18.986301369863014,119,E
Technology | Electronics & Computer Distribution,8,-0.1082939096549831,-0.07702164228552436,18.493150684931507,18.30821917808219,120,E
Communication Services | Electronic Gaming & Multimedia,24,-0.18288016107585114,-0.07703778664601917,17.80821917808219,17.63013698630137,121,E
Industrials | Consulting Services,23,-0.20068566475315908,-0.07704876849962361,17.123287671232877,16.952054794520546,122,E
Consumer Defensive | Education & Training Services,44,-0.15677055365697123,-0.08366494698103498,16.43835616438356,16.273972602739725,123,E
Consumer Cyclical | Apparel Manufacturing,21,-0.04151334011767718,-0.08531440474254201,15.753424657534246,15.595890410958903,124,E
Consumer Cyclical | Auto & Truck Dealerships,27,-0.09979937057698919,-0.08734656277902611,15.068493150684931,14.917808219178081,125,E
Industrials | Building Products & Equipment,30,-0.13148285023977535,-0.10233362709059385,14.383561643835616,14.239726027397259,126,E
Technology | Software - Application,220,-0.1457554566654508,-0.11156913124828385,13.698630136986301,13.561643835616438,127,E
Real Estate | REIT - Office,22,-0.1245102760228784,-0.11362814711401419,13.013698630136986,12.883561643835616,128,E
